nome,album,artista,genero
Indestructible,Indestructible,Disturbed,Heavy Metal
The Night,Indestructible,Disturbed,Heavy Metal
Stupify,The Sickness,Disturbed,Nu Metal
Psychosocial,All Hope Is Gone,Slipknot,Nu Metal
Duality,Vol. 3: (The Subliminal Verses),Slipknot,Nu Metal
Spider Bites,Spider Bites,Ivycomb,Pop
Sun Spots,Rebirth,Ivycomb,Electronic
Strays,Raised by Aliens,Ivycomb,Electronic
Linger in the Rain,Linger in the Rain,YonKaGor,Pop
Numb,Meteora,Linkin Park,Rock
In the End,Hybrid Theory,Linkin Park,Rock
Bohemian Rhapsody,A Night at the Opera,Queen,Rock
Billie Jean,Thriller,Michael Jackson,Pop
Beat It,Thriller,Michael Jackson,Pop
Shape of You,Divide,Ed Sheeran,Pop
Blinding Lights,After Hours,The Weeknd,Pop
Someone Like You,21,Adele,Pop
Rolling in the Deep,21,Adele,Pop
Smells Like Teen Spirit,Nevermind,Nirvana,Grunge
Come As You Are,Nevermind,Nirvana,Grunge
Lose Yourself,8 Mile,Eminem,Rap
Without Me,The Eminem Show,Eminem,Rap
God's Plan,Scorpion,Drake,Rap
HUMBLE.,DAMN.,Kendrick Lamar,Rap
Not Like Us,Not Like Us,Kendrick Lamar,Hip Hop
One Dance,Views,Drake,Hip Hop
Believer,Evolve,Imagine Dragons,Alternative
Radioactive,Night Visions,Imagine Dragons,Alternative
Viva La Vida,Viva la Vida or Death and All His Friends,Coldplay,Alternative
Yellow,Parachutes,Coldplay,Alternative
Take on Me,Hunting High and Low,a-ha,Synthpop
Sweet Child O' Mine,Appetite for Destruction,Guns N' Roses,Rock
Wonderwall,(What's the Story) Morning Glory?,Oasis,Britpop
Hotel California,Hotel California,Eagles,Rock
Stairway to Heaven,Led Zeppelin IV,Led Zeppelin,Rock
Hey Jude,Hey Jude,The Beatles,Rock
Imagine,Imagine,John Lennon,Soft Rock
Thriller,Thriller,Michael Jackson,Pop
Bad Guy,When We All Fall Asleep Where Do We Go?,Billie Eilish,Pop
Firework,Teenage Dream,Katy Perry,Pop
